,name,mean,std
62,VSA_EState4,3.0133901705820003,3.9331436938912816
63,VSA_EState5,-0.4016837129829375,2.899354840405888
64,VSA_EState6,11.110238760221081,6.516911903582476
65,VSA_EState7,1.6705973320694187,4.735244142094528
66,VSA_EState8,2.9543020391051527,2.8989383834425126
67,VSA_EState9,-0.0020177636020210048,2.2553081675206594
68,FractionCSP3,0.32353672991740134,0.1505660495149419
69,NHOHCount,2.2410150714929795,2.9104470707074355
70,NumAliphaticCarbocycles,0.27631070462450086,0.5919631716339884
71,NumAliphaticHeterocycles,0.759564601313925,0.916993399120018
72,NumAliphaticRings,1.0358753059384258,1.0623065767850575
73,NumAromaticCarbocycles,1.5551977328352442,0.9359287440136341
74,NumAromaticHeterocycles,1.3998454205848254,1.1049453677372358
75,NumAromaticRings,2.9550431534200694,1.1755764171141845
76,NumHAcceptors,6.046309416462708,3.668381210984614
77,NumHeteroatoms,9.48756923869638,5.831134706329138
78,NumSaturatedHeterocycles,0.5408991369315986,0.7935691321752897
79,NumSaturatedRings,0.7921550946798918,0.9572965178658728
80,RingCount,3.9909184593584954,1.5608182203126912
81,MolLogP,3.549858892824941,1.9693555930994224
82,fr_Al_COO,0.06511657864227748,0.320935040877847
83,fr_Al_OH,0.22645884323070978,0.5560072499868369
84,fr_Al_OH_noTert,0.15779981965734896,0.4997352411122828
85,fr_ArN,0.043990725235089526,0.2474856602833516
86,fr_Ar_COO,0.08791704238052299,0.28476191686173413
87,fr_Ar_N,2.0664691485250546,1.849053983444858
88,fr_Ar_NH,0.16578642277470051,0.4370207113363467
89,fr_Ar_OH,0.02557001159345614,0.1677396511960416
90,fr_COO,0.15303362102280046,0.4175087377298307
91,fr_C_S,0.0017390184207136416,0.041665264137481
92,fr_HOCCN,0.015457941517454592,0.12388627745157921
93,fr_Imine,0.005474687620765168,0.07551389127070893
94,fr_NH0,2.867383743398171,2.0206320685463814
95,fr_NH1,1.3935978358881875,1.8212276080475995
96,fr_NH2,0.21795697539610975,0.550808523284089
97,fr_N_O,0.005474687620765168,0.09714945689449826
98,fr_Ndealkylation1,0.0918459358495427,0.3075991994749319
99,fr_Ndealkylation2,0.25048306067242043,0.4876994881492212
100,fr_SH,0.0014169779724333377,0.03761608892294594
101,fr_alkyl_carbamate,0.010562926703593972,0.10472161190650647
102,fr_alkyl_halide,0.9155609944609043,1.6498197541430157
103,fr_allylic_oxid,0.0063119927862939585,0.12622743355455204
104,fr_amidine,0.005667911889733351,0.07507187665526666
105,fr_aniline,0.8607497101635966,0.8467128425437781
106,fr_aryl_methyl,0.4496972819786165,0.6890792356801617
107,fr_azide,0.0001288161793121216,0.011348990514758087
108,fr_bicyclic,0.7094551075615098,0.8444815212240627
109,fr_ester,0.025634419683112197,0.18049224578922346
110,fr_ether,0.5439907252350895,0.9256619682812822
111,fr_furan,0.017969857014040965,0.13619344517310936
112,fr_guanido,0.0017390184207136416,0.041665264137481
113,fr_halogen,1.3787839752672937,1.7639485046420857
114,fr_hdrzine,0.0033492206621151617,0.05777545658038214
115,fr_hdrzone,0.0002576323586242432,0.016048862395572867
116,fr_imidazole,0.16849156254025505,0.3986343162254952
117,fr_imide,0.06853020739404869,0.2825013704449599
118,fr_ketone,0.046373824552363774,0.23017991472318916
119,fr_ketone_Topliss,0.040255056035038,0.2174057738712707
120,fr_lactam,0.0005152647172484864,0.022693594239777116
121,fr_lactone,0.004701790544892438,0.07296413233311971
122,fr_methoxy,0.14730130104341105,0.3925200674899417
123,fr_morpholine,0.024475074069303104,0.16024815546200502
124,fr_nitro,0.010691742882906093,0.10470853859627823
125,fr_nitro_arom,0.009532397269096998,0.09913616499208285
126,fr_nitro_arom_nonortho,0.008630684013912147,0.09388198797420298
127,fr_oxazole,0.013461290738116707,0.11579680724913238
128,fr_oxime,0.019708875434754605,0.13899796999903244
129,fr_para_hydroxylation,0.1776375112714157,0.47153112730072166
130,fr_phenol_noOrthoHbond,0.021898750483060673,0.1565592013068291
131,fr_phos_acid,0.0002576323586242432,0.016048862395572867
132,fr_piperdine,0.2472626561896174,0.5089536251313407
133,fr_piperzine,0.057967280690454724,0.23642173515336945
134,fr_priamide,0.09017132551848513,0.31265960955774785
135,fr_pyridine,0.3610073425222208,0.5668929629153977
136,fr_quatN,0.0007728970758727296,0.027790280782727564
137,fr_sulfide,0.03858044570398042,0.1939259127360527
138,fr_sulfonamd,0.11902614968440037,0.34816458772877307
139,fr_sulfone,0.09306968955300786,0.2988356358491657
140,fr_term_acetylene,0.0017390184207136416,0.046069976921878586
141,fr_tetrazole,0.0080510112070076,0.08936549907851597
142,fr_thiazole,0.07252350895272446,0.2647599016973212
143,fr_thiophene,0.07716089140796084,0.26805068390446296
144,fr_unbrch_alkane,0.2687749581347417,1.7662114552866428
145,fr_urea,0.0892052041736442,0.3025771472979286
